UTC,Azimut,Altitud
2025-08-03T20:42:02.841875+00:00,170.84,0.06
2025-08-03T20:42:04.843344+00:00,170.86,0.18
2025-08-03T20:42:06.844663+00:00,170.88,0.30
2025-08-03T20:42:08.846469+00:00,170.89,0.42
2025-08-03T20:42:10.848103+00:00,170.91,0.55
2025-08-03T20:42:12.849624+00:00,170.93,0.67
2025-08-03T20:42:14.851241+00:00,170.95,0.79
2025-08-03T20:42:16.853019+00:00,170.96,0.91
2025-08-03T20:42:18.855501+00:00,170.98,1.04
2025-08-03T20:42:20.857073+00:00,171.00,1.16
2025-08-03T20:42:22.858558+00:00,171.02,1.29
2025-08-03T20:42:24.860068+00:00,171.04,1.41
2025-08-03T20:42:26.861556+00:00,171.05,1.54
2025-08-03T20:42:28.863446+00:00,171.07,1.67
2025-08-03T20:42:30.864930+00:00,171.09,1.80
2025-08-03T20:42:32.866219+00:00,171.11,1.92
2025-08-03T20:42:34.867852+00:00,171.13,2.05
2025-08-03T20:42:36.869456+00:00,171.15,2.18
2025-08-03T20:42:38.870949+00:00,171.17,2.31
2025-08-03T20:42:40.872158+00:00,171.19,2.44
2025-08-03T20:42:42.873698+00:00,171.21,2.57
2025-08-03T20:42:44.875103+00:00,171.23,2.70
2025-08-03T20:42:46.876802+00:00,171.25,2.84
2025-08-03T20:42:48.879082+00:00,171.27,2.97
2025-08-03T20:42:50.880780+00:00,171.29,3.10
2025-08-03T20:42:52.882433+00:00,171.31,3.24
2025-08-03T20:42:54.885040+00:00,171.33,3.37
2025-08-03T20:42:56.886549+00:00,171.35,3.51
2025-08-03T20:42:58.888266+00:00,171.37,3.64
2025-08-03T20:43:00.889794+00:00,171.40,3.78
2025-08-03T20:43:02.891286+00:00,171.42,3.92
2025-08-03T20:43:04.892731+00:00,171.44,4.06
2025-08-03T20:43:06.894254+00:00,171.46,4.19
2025-08-03T20:43:08.895998+00:00,171.49,4.33
2025-08-03T20:43:10.897118+00:00,171.51,4.48
2025-08-03T20:43:12.898270+00:00,171.53,4.62
2025-08-03T20:43:14.900264+00:00,171.55,4.76
2025-08-03T20:43:16.901588+00:00,171.58,4.90
2025-08-03T20:43:18.902898+00:00,171.60,5.04
2025-08-03T20:43:20.904424+00:00,171.63,5.19
2025-08-03T20:43:22.906060+00:00,171.65,5.33
2025-08-03T20:43:24.907762+00:00,171.67,5.48
2025-08-03T20:43:26.909422+00:00,171.70,5.63
2025-08-03T20:43:28.911212+00:00,171.72,5.77
2025-08-03T20:43:30.912937+00:00,171.75,5.92
2025-08-03T20:43:32.914469+00:00,171.78,6.07
2025-08-03T20:43:34.916149+00:00,171.80,6.22
2025-08-03T20:43:36.917868+00:00,171.83,6.37
2025-08-03T20:43:38.919603+00:00,171.85,6.53
2025-08-03T20:43:40.920769+00:00,171.88,6.68
2025-08-03T20:43:42.922116+00:00,171.91,6.83
2025-08-03T20:43:44.923433+00:00,171.94,6.99
2025-08-03T20:43:46.924982+00:00,171.96,7.14
2025-08-03T20:43:48.926561+00:00,171.99,7.30
2025-08-03T20:43:50.928465+00:00,172.02,7.46
2025-08-03T20:43:52.929942+00:00,172.05,7.62
2025-08-03T20:43:54.931569+00:00,172.08,7.78
2025-08-03T20:43:56.933066+00:00,172.11,7.94
2025-08-03T20:43:58.934857+00:00,172.14,8.10
2025-08-03T20:44:00.936044+00:00,172.17,8.26
2025-08-03T20:44:02.937175+00:00,172.20,8.42
2025-08-03T20:44:04.938423+00:00,172.23,8.59
2025-08-03T20:44:06.939933+00:00,172.26,8.76
2025-08-03T20:44:08.941604+00:00,172.29,8.92
2025-08-03T20:44:10.943022+00:00,172.32,9.09
2025-08-03T20:44:12.944201+00:00,172.35,9.26
2025-08-03T20:44:14.945520+00:00,172.39,9.43
2025-08-03T20:44:16.947001+00:00,172.42,9.60
2025-08-03T20:44:18.948600+00:00,172.45,9.78
2025-08-03T20:44:20.950275+00:00,172.49,9.95
2025-08-03T20:44:22.951947+00:00,172.52,10.13
2025-08-03T20:44:24.953768+00:00,172.55,10.30
2025-08-03T20:44:26.955273+00:00,172.59,10.48
2025-08-03T20:44:28.956830+00:00,172.63,10.66
2025-08-03T20:44:30.958356+00:00,172.66,10.84
2025-08-03T20:44:32.959498+00:00,172.70,11.02
2025-08-03T20:44:34.960743+00:00,172.73,11.21
2025-08-03T20:44:36.962335+00:00,172.77,11.39
2025-08-03T20:44:38.964065+00:00,172.81,11.58
2025-08-03T20:44:40.968134+00:00,172.85,11.77
2025-08-03T20:44:42.969325+00:00,172.89,11.96
2025-08-03T20:44:44.970510+00:00,172.93,12.15
2025-08-03T20:44:46.971863+00:00,172.97,12.34
2025-08-03T20:44:48.973224+00:00,173.01,12.53
2025-08-03T20:44:50.974412+00:00,173.05,12.73
2025-08-03T20:44:52.975963+00:00,173.09,12.93
2025-08-03T20:44:54.977548+00:00,173.13,13.12
2025-08-03T20:44:56.979021+00:00,173.17,13.32
2025-08-03T20:44:58.980805+00:00,173.22,13.53
2025-08-03T20:45:00.982315+00:00,173.26,13.73
2025-08-03T20:45:02.984048+00:00,173.30,13.94
2025-08-03T20:45:04.985709+00:00,173.35,14.14
2025-08-03T20:45:06.987426+00:00,173.40,14.35
2025-08-03T20:45:08.989045+00:00,173.44,14.56
2025-08-03T20:45:10.990608+00:00,173.49,14.78
2025-08-03T20:45:12.992395+00:00,173.54,14.99
2025-08-03T20:45:14.994167+00:00,173.58,15.21
2025-08-03T20:45:16.995370+00:00,173.63,15.42
2025-08-03T20:45:18.996687+00:00,173.68,15.65
2025-08-03T20:45:20.998201+00:00,173.73,15.87
2025-08-03T20:45:22.999786+00:00,173.79,16.09
2025-08-03T20:45:25.001371+00:00,173.84,16.32
2025-08-03T20:45:27.004009+00:00,173.89,16.55
2025-08-03T20:45:29.005902+00:00,173.94,16.78
2025-08-03T20:45:31.007392+00:00,174.00,17.01
2025-08-03T20:45:33.008911+00:00,174.05,17.25
2025-08-03T20:45:35.010565+00:00,174.11,17.49
2025-08-03T20:45:37.012131+00:00,174.17,17.73
2025-08-03T20:45:39.014095+00:00,174.23,17.97
2025-08-03T20:45:41.015653+00:00,174.29,18.21
2025-08-03T20:45:43.017192+00:00,174.35,18.46
2025-08-03T20:45:45.018437+00:00,174.41,18.71
2025-08-03T20:45:47.019669+00:00,174.47,18.96
2025-08-03T20:45:49.021520+00:00,174.53,19.22
2025-08-03T20:45:51.023059+00:00,174.60,19.48
2025-08-03T20:45:53.024778+00:00,174.66,19.74
2025-08-03T20:45:55.026414+00:00,174.73,20.00
2025-08-03T20:45:57.028697+00:00,174.80,20.27
2025-08-03T20:45:59.030222+00:00,174.86,20.53
2025-08-03T20:46:01.031589+00:00,174.93,20.81
2025-08-03T20:46:03.033410+00:00,175.01,21.08
2025-08-03T20:46:05.035028+00:00,175.08,21.36
2025-08-03T20:46:07.036678+00:00,175.15,21.64
2025-08-03T20:46:09.038330+00:00,175.23,21.92
2025-08-03T20:46:11.039864+00:00,175.30,22.21
2025-08-03T20:46:13.041034+00:00,175.38,22.50
2025-08-03T20:46:15.042299+00:00,175.46,22.80
2025-08-03T20:46:17.043413+00:00,175.54,23.09
2025-08-03T20:46:19.044953+00:00,175.62,23.40
2025-08-03T20:46:21.046450+00:00,175.71,23.70
2025-08-03T20:46:23.047947+00:00,175.79,24.01
2025-08-03T20:46:25.049454+00:00,175.88,24.32
2025-08-03T20:46:27.050881+00:00,175.97,24.63
2025-08-03T20:46:29.052767+00:00,176.06,24.95
2025-08-03T20:46:31.054241+00:00,176.16,25.28
2025-08-03T20:46:33.055430+00:00,176.25,25.60
